species,region,Site,maximum age,minimum age,family,Notes on earliest occurrences
Mammuthus africanavus,Northern Africa,Garaet Ichkeul_siteSet_1,"4,2","3,4",Elephantidae,
Elephas planifrons,Eastern Europe,Groznyj (Solenyj)_siteSet_1,"4,2","2,275",Elephantidae,
Anancus arvernensis,Eastern Europe,Ivanovce_siteSet_1,"4,2","3,4",Gomphotheriidae,
Mammut borsoni,Eastern Europe,Ivanovce_siteSet_1,"4,2","3,4",Mammutidae,
Anancus kenyensis,Eastern Africa,Ekora_siteSet_1,"4,2","3,4",Gomphotheriidae,
Deinotherium bozasi,Eastern Africa,Ekora_siteSet_1,"4,2","3,4",Deinotheriidae,
Elephas ekorensis,Eastern Africa,Ekora_siteSet_1,"4,2","3,4",Elephantidae,
Loxodonta adaurora,Eastern Africa,Ekora_siteSet_1,"4,2","3,4",Elephantidae,
Anancus arvernensis,Eastern Europe,Malgobek_siteSet_1,"4,2","2,275",Gomphotheriidae,
Anancus arvernensis,Eastern Europe,Odessa Catacombs_siteSet_1,"4,2","3,4",Gomphotheriidae,
Anancus arvernensis,Western Europe,Perpignan_siteSet_1,"4,2","3,4",Gomphotheriidae,
Mammut borsoni,Western Europe,Perpignan_siteSet_1,"4,2","3,4",Mammutidae,
Anancus arvernensis,Eastern Europe,Sugas-Bai_siteSet_1,"4,2","3,4",Gomphotheriidae,
Anancus arvernensis,Eastern Europe,Varghis_siteSet_1,"4,2","3,4",Gomphotheriidae,
Mammut borsoni,Eastern Europe,Varghis_siteSet_1,"4,2","3,4",Mammutidae,
Anancus arvernensis,Western Europe,Wölfersheim_siteSet_1,"4,2","3,4",Gomphotheriidae,
Mammut borsoni,Western Europe,Wölfersheim_siteSet_1,"4,2","3,4",Mammutidae,
Deinotherium bozasi,Eastern Africa,Kanapoi_siteSet_1,"4,17","4,07",Deinotheriidae,
Elephas ekorensis,Eastern Africa,Kanapoi_siteSet_1,"4,17","4,07",Elephantidae,
Loxodonta adaurora,Eastern Africa,Kanapoi_siteSet_1,"4,17","4,07",Elephantidae,
Loxodonta adaurora,Eastern Africa,Sibilot 2_siteSet_1,"3,94","3,4",Elephantidae,
Deinotherium bozasi,Eastern Africa,South Turkwell_siteSet_1,"3,94","3,4",Deinotheriidae,
Loxodonta adaurora,Eastern Africa,South Turkwell_siteSet_1,"3,94","3,4",Elephantidae,
Loxodonta adaurora,Eastern Africa,Koobi Fora (Moiti)_siteSet_1,"3,9","3,4",Elephantidae,
Deinotherium bozasi,Eastern Africa,Kaiyumung_siteSet_1,"3,9",3,Deinotheriidae,
Elephas ekorensis,Eastern Africa,Kaiyumung_siteSet_1,"3,9",3,Elephantidae,
Loxodonta adaurora,Eastern Africa,Kaiyumung_siteSet_1,"3,9",3,Elephantidae,
Loxodonta exoptata,Eastern Africa,Upper Laetoli Beds_siteSet_1,"3,85","3,58",Elephantidae,
Anancus ultimus,Eastern Africa,Upper Laetoli Beds_siteSet_1,"3,85","3,58",Gomphotheriidae,
Elephas ekorensis,Eastern Africa,Woranso-Mille_siteSet_1,"3,8","3,2",Elephantidae,
Elephas planifrons,Southern Asia,Rato Khola 2_siteSet_1,"3,6","1,95",Elephantidae,
