"species","region","minimum.age","maximum.age","family","Site"
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",580
"Mammuthus primigenius","Eurasia","0.012","0.126","Elephantidae",581
"Mammuthus protomammonteus","Eurasia","0.5","1","Elephantidae",582
"Mammuthus rumanus","Eurasia","2.6","3.4","Elephantidae",583
"Mammuthus rumanus","Eurasia","2.6","3.4","Elephantidae",584
"Mammuthus subplanifrons","Africa","5.3","7.1","Elephantidae",585
"Mammuthus subplanifrons","Africa","4","5","Elephantidae",586
"Mammuthus subplanifrons","Africa","4","5","Elephantidae",587
"Mammuthus subplanifrons","Africa","4.2","5.3","Elephantidae",588
"Mammuthus subplanifrons","Africa","4.2","5.3","Elephantidae",589
"Mammuthus subplanifrons","Africa","3.6","5.33","Elephantidae",590
"Mammuthus subplanifrons","Africa","5.15","5.15","Elephantidae",404
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",591
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",592
"Mammuthus trogontherii","Eurasia","0.761","0.79","Elephantidae",593
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",594
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",595
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",596
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",597
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",598
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",599
"Mammuthus trogontherii","Eurasia","0.126","0.781","Elephantidae",600
"Mammuthus trogontherii","Eurasia","0.621","0.761","Elephantidae",601
"Mammuthus trogontherii","Eurasia","0.435","0.781","Elephantidae",602
"Mammuthus trogontherii","Eurasia","0.424","0.774","Elephantidae",603
"Mammuthus trogontherii","Eurasia","0.424","0.774","Elephantidae",604
"Mammuthus trogontherii","Eurasia","0.424","0.774","Elephantidae",605
"Mammuthus trogontherii","Eurasia","0.781","1.03","Elephantidae",606
"Mammuthus trogontherii","Eurasia","0.6","0.781","Elephantidae",607
